Altium Designer Pick and Place Locations
D:\OneDrive - Politechnika Warszawska\Projekty\Creotech\SpaceVPX_FMC_Carrier_3U\SVPX_FMC_3U_PCB\Project Outputs for SVPXFMC_Carrier_3U\Pick Place\Pick Place for SVPXFMC_Carrier_3U.txt

========================================================================================================================
File Design Information:

Date:       23.09.19
Time:       16:05
Revision:   3573b1d3b979be8ad178abebfacfb34ba08b2e2f
Variant:    No variations
Units used: mil

Designator Comment                  Layer       Footprint              Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                           
T4         BSR17A                   BottomLayer SOT95P240X110-3N       -459.646      -2215.551     360      "NPN Transistor"                                                                                                                                      
R198       10k                      BottomLayer RESC1005X40N           -557.087      -2244.095     90       "Resistor - 1%"                                                                                                                                       
R197       1k                       BottomLayer RESC1005X40N           -346.457      -2244.095     270      "Resistor - 1%"                                                                                                                                       
FTG8       "Use only in PCB"        TopLayer    FIDUCIAL_TOP_C100-200  2255.000      -3075.000     90       "Fiducial Target"                                                                                                                                     
FTG7       "Use only in PCB"        TopLayer    FIDUCIAL_TOP_C100-200  2264.000      713.000       90       "Fiducial Target"                                                                                                                                     
FTG6       "Use only in PCB"        TopLayer    FIDUCIAL_TOP_C100-200  -3628.937     -2613.189     90       "Fiducial Target"                                                                                                                                     
FTG5       "Use only in PCB"        TopLayer    FIDUCIAL_TOP_C100-200  -3827.756     707.677       90       "Fiducial Target"                                                                                                                                     
FTG4       "Use only in PCB"        BottomLayer FIDUCIAL_TOP_C100-200  2255.000      -3075.000     90       "Fiducial Target"                                                                                                                                     
FTG3       "Use only in PCB"        BottomLayer FIDUCIAL_TOP_C100-200  2264.000      713.000       90       "Fiducial Target"                                                                                                                                     
FTG2       "Use only in PCB"        BottomLayer FIDUCIAL_TOP_C100-200  -3628.937     -2613.189     90       "Fiducial Target"                                                                                                                                     
FTG1       "Use only in PCB"        BottomLayer FIDUCIAL_TOP_C100-200  -3827.756     707.677       90       "Fiducial Target"                                                                                                                                     
R196       3k6                      BottomLayer RESC1005X40N           1707.677      -2338.583     360      "Resistor - 1%"                                                                                                                                       
R195       24k                      BottomLayer RESC1005X40N           1187.008      -2612.380     360      "Resistor - 1%"                                                                                                                                       
R194       24k                      BottomLayer RESC1005X40N           1257.874      -2406.496     270      "Resistor - 1%"                                                                                                                                       
R193       24k                      BottomLayer RESC1005X40N           1693.701      -2504.921     90       "Resistor - 1%"                                                                                                                                       
